              0	   6145	    161	     49	    130	   3052	     75	     21	     57	 -11384	   -307	    -88	   -244
              1	   6164	    933	    320	    746	   3073	    438	    140	    326	 -11293	  -1761	   -570	  -1386
              2	   6313	   2384	    961	   1879	   3150	   1125	    421	    821	 -11261	  -4455	  -1703	  -3445
              3	   6253	   3640	   1807	   2796	   3171	   1736	    794	   1224	 -11137	  -6697	  -3184	  -5022
              4	   6205	   3893	   2447	   2852	   3176	   1890	   1080	   1254	 -10812	  -7019	  -4290	  -4981
              5	   6200	   3440	   2612	   2332	   3211	   1719	   1161	   1036	 -10481	  -6121	  -4576	  -3982
              6	   6199	   3065	   2366	   1896	   3257	   1582	   1059	    855	 -10891	  -5532	  -4175	  -3302
              7	   6208	   3048	   1961	   1768	   3275	   1605	    882	    803	 -11090	  -5663	  -3523	  -3236
              8	   6176	   3148	   1615	   1735	   3298	   1672	    725	    782	 -10911	  -5915	  -2969	  -3246
              9	   6120	   3122	   1403	   1595	   3290	   1674	    626	    708	 -10695	  -5813	  -2610	  -2942
             10	   6064	   2978	   1283	   1363	   3276	   1626	    571	    598	 -10586	  -5463	  -2361	  -2440
             11	   6027	   2840	   1183	   1146	   3272	   1597	    534	    512	 -10469	  -5160	  -2098	  -2003
             12	   6006	   2766	   1063	    993	   3341	   1611	    495	    468	 -10272	  -4982	  -1763	  -1687
             13	   5982	   2730	    919	    881	   3374	   1640	    450	    442	 -10163	  -4811	  -1382	  -1383
             14	   5923	   2687	    765	    770	   3378	   1654	    397	    404	  -9980	  -4580	  -1026	  -1035
             15	   5935	   2611	    608	    637	   3383	   1643	    341	    350	  -9810	  -4369	   -755	   -727
             16	   5903	   2495	    449	    473	   3425	   1619	    283	    286	  -9638	  -4282	   -583	   -559
             17	   5741	   2352	    287	    289	   3383	   1590	    225	    222	  -9926	  -4293	   -471	   -501
             18	   5632	   2211	    131	    114	   3365	   1563	    169	    165	  -9921	  -4264	   -359	   -416
             19	   5582	   2099	     -6	    -23	   3372	   1540	    119	    118	  -9733	  -4107	   -204	   -218
             20	   5554	   2016	   -121	   -123	   3381	   1521	     77	     79	  -9509	  -3871	     -3	     45
             21	   5507	   1944	   -215	   -206	   3367	   1502	     42	     44	  -9404	  -3659	    220	    269
             22	   5451	   1868	   -296	   -284	   3363	   1482	     15	     15	  -9303	  -3500	    441	    428
             23	   5418	   1789	   -365	   -358	   3362	   1464	     -6	     -7	  -9188	  -3338	    636	    579
             24	   5403	   1716	   -418	   -419	   3374	   1448	    -23	    -22	  -9048	  -3134	    787	    758
             25	   5374	   1658	   -446	   -458	   3365	   1431	    -36	    -35	  -8888	  -2945	    873	    909
             26	   5377	   1630	   -446	   -461	   3359	   1410	    -46	    -47	  -8744	  -2865	    884	    941
             27	   5396	   1629	   -427	   -431	   3367	   1385	    -56	    -57	  -8941	  -2901	    836	    847
             28	   5446	   1630	   -406	   -392	   3316	   1358	    -67	    -67	  -9089	  -2952	    773	    727
             29	   5494	   1597	   -402	   -383	   3340	   1322	    -81	    -80	  -9019	  -2912	    737	    689
             30	   5404	   1516	   -420	   -416	   3301	   1275	   -100	   -101	  -8867	  -2773	    742	    742
             31	   5322	   1415	   -452	   -465	   3237	   1219	   -126	   -127	  -8799	  -2610	    774	    811
             32	   5288	   1327	   -482	   -497	   3196	   1158	   -155	   -154	  -8732	  -2485	    804	    835
             33	   5280	   1262	   -499	   -503	   3171	   1096	   -183	   -179	  -8671	  -2397	    815	    816
             34	   5254	   1204	   -504	   -498	   3118	   1033	   -204	   -203	  -8616	  -2309	    812	    792
             35	   5198	   1143	   -500	   -492	   3058	    975	   -214	   -218	  -8541	  -2198	    807	    785
             36	   5167	   1082	   -492	   -484	   3034	    934	   -209	   -215	  -8426	  -2068	    804	    795
             37	   5174	   1023	   -478	   -473	   3026	    909	   -193	   -193	  -8373	  -1936	    796	    802
             38	   5161	    969	   -448	   -455	   3032	    885	   -173	   -168	  -8290	  -1826	    767	    785
             39	   5135	    934	   -397	   -416	   2995	    849	   -157	   -154	  -8227	  -1759	    706	    724
             40	   5148	    934	   -330	   -342	   2964	    800	   -148	   -150	  -8241	  -1735	    617	    618
             41	   5191	    954	   -259	   -247	   2894	    748	   -147	   -150	  -8263	  -1722	    519	    501
             42	   5315	    949	   -203	   -176	   2907	    695	   -150	   -148	  -8302	  -1677	    437	    416
             43	   5224	    893	   -169	   -157	   2843	    639	   -153	   -150	  -8188	  -1587	    380	    377
             44	   5139	    810	   -148	   -165	   2785	    581	   -152	   -153	  -8084	  -1479	    342	    357
             45	   5125	    748	   -127	   -153	   2744	    530	   -145	   -149	  -8047	  -1387	    308	    323
             46	   5166	    721	   -100	   -107	   2729	    488	   -135	   -136	  -8051	  -1316	    267	    269
             47	   5174	    699	    -71	    -57	   2703	    447	   -126	   -123	  -7971	  -1251	    219	    212
             48	   5121	    652	    -52	    -34	   2661	    399	   -120	   -116	  -7886	  -1183	    168	    161
             49	   5074	    580	    -45	    -37	   2600	    345	   -118	   -117	  -7899	  -1110	    123	    118
             50	   5045	    504	    -42	    -46	   2574	    292	   -116	   -117	  -7838	  -1032	     84	     83
             51	   5031	    443	    -29	    -42	   2555	    245	   -109	   -113	  -7762	   -952	     48	     54
             52	   5013	    411	      4	    -11	   2502	    209	    -94	    -99	  -7702	   -881	     11	     21
             53	   5011	    410	     53	     47	   2492	    183	    -75	    -75	  -7687	   -825	    -28	    -23
             54	   5031	    418	     99	    113	   2468	    161	    -55	    -50	  -7650	   -777	    -65	    -72
             55	   5136	    396	    124	    147	   2486	    128	    -41	    -36	  -7621	   -719	    -94	   -106
             56	   5023	    323	    120	    127	   2431	     83	    -35	    -37	  -7547	   -644	   -115	   -120
             57	   4917	    227	     98	     82	   2359	     39	    -33	    -39	  -7498	   -564	   -131	   -124
             58	   4901	    156	     79	     59	   2365	      6	    -29	    -30	  -7429	   -500	   -152	   -139
             59	   4916	    127	     79	     76	   2366	    -16	    -19	    -14	  -7424	   -459	   -178	   -173
             60	   4938	    121	    101	    113	   2350	    -38	      0	      1	  -7392	   -429	   -206	   -213
             61	   4930	    114	    137	    146	   2305	    -56	     25	     19	  -7378	   -390	   -229	   -242
             62	   4935	    103	    175	    174	   2327	    -60	     54	     47	  -7329	   -335	   -243	   -249
             63	   4961	     95	    206	    201	   2343	    -58	     78	     81	  -7273	   -271	   -250	   -243
             64	   4977	     83	    224	    222	   2343	    -71	     88	     99	  -7224	   -216	   -255	   -244
             65	   4989	     52	    223	    221	   2303	   -112	     81	     85	  -7200	   -178	   -262	   -257
             66	   4926	      0	    200	    198	   2247	   -171	     59	     52	  -7183	   -148	   -268	   -273
             67	   4837	    -64	    157	    159	   2177	   -226	     31	     21	  -7136	   -107	   -266	   -277
             68	   4882	   -141	     97	    106	   2175	   -268	      4	      3	  -7098	    -49	   -254	   -259
             69	   4777	   -231	     32	     37	   2153	   -303	    -19	    -11	  -7024	     18	   -234	   -230
             70	   4663	   -320	    -25	    -31	   2091	   -340	    -36	    -29	  -6966	     78	   -212	   -204
             71	   4644	   -380	    -62	    -73	   2063	   -374	    -45	    -45	  -6923	    125	   -195	   -190
             72	   4658	   -402	    -75	    -79	   2070	   -393	    -43	    -48	  -6903	    160	   -182	   -184
             73	   4679	   -401	    -70	    -65	   2075	   -393	    -28	    -35	  -6860	    195	   -171	   -177
             74	   4684	   -399	    -59	    -50	   2073	   -380	     -7	     -9	  -6814	    232	   -160	   -165
             75	   4689	   -402	    -49	    -42	   2105	   -363	     14	     18	  -6781	    270	   -150	   -151
             76	   4709	   -406	    -38	    -36	   2113	   -354	     29	     38	  -6760	    304	   -142	   -138
             77	   4742	   -403	    -21	    -26	   2131	   -360	     36	     41	  -6716	    329	   -140	   -133
             78	   4778	   -389	      7	     -4	   2105	   -373	     41	     36	  -6694	    344	   -141	   -136
             79	   4805	   -354	     47	     35	   2103	   -375	     51	     40	  -6692	    354	   -140	   -143
             80	   4826	   -306	     83	     88	   2120	   -356	     71	     65	  -6653	    375	   -128	   -139
             81	   4969	   -275	    102	    122	   2177	   -324	     97	    101	  -6619	    418	   -103	   -111
             82	   4937	   -290	     95	    110	   2208	   -300	    122	    130	  -6555	    478	    -71	    -65
             83	   4860	   -337	     71	     65	   2185	   -291	    137	    142	  -6479	    531	    -39	    -25
             84	   4839	   -377	     47	     26	   2201	   -295	    143	    141	  -6413	    561	    -13	     -7
